Question_ID,Answer_ID,Task
8138,,Phi-2
8153,2.0,Phi-2
8156,1.0,Phi-2
8160,3.0,Phi-2
8165,2.0,Phi-2
8168,2.0,Phi-2
8186,1.0,Phi-2
8200,5.0,Phi-2
8202,3.0,Phi-2
8210,2.0,Phi-2
8211,2.0,Phi-2
8213,2.0,Phi-2
8216,2.0,Phi-2
8223,3.0,Phi-2
8230,5.0,Phi-2
8231,2.0,Phi-2
8243,3.0,Phi-2
8261,4.0,Phi-2
8263,3.0,Phi-2
8266,2.0,Phi-2
8269,2.0,Phi-2
8272,2.0,Phi-2
8285,2.0,Phi-2
8289,,Phi-2
8293,1.0,Phi-2
8301,2.0,Phi-2
8307,1.0,Phi-2
8310,4.0,Phi-2
8311,3.0,Phi-2
8314,2.0,Phi-2
8318,3.0,Phi-2
8319,2.0,Phi-2
8335,2.0,Phi-2
8342,1.0,Phi-2
8347,1.0,Phi-2
8350,2.0,Phi-2
8354,3.0,Phi-2
8359,2.0,Phi-2
8360,1.0,Phi-2
8361,3.0,Phi-2
8362,2.0,Phi-2
8363,3.0,Phi-2
8364,3.0,Phi-2
8369,,Phi-2
8371,3.0,Phi-2
8381,2.0,Phi-2
8389,4.0,Phi-2
8396,3.0,Phi-2
8401,3.0,Phi-2
8403,2.0,Phi-2
8405,2.0,Phi-2
8411,2.0,Phi-2
8417,1.0,Phi-2
8426,1.0,Phi-2
8429,3.0,Phi-2
8434,4.0,Phi-2
8437,2.0,Phi-2
8445,3.0,Phi-2
8455,2.0,Phi-2
8456,2.0,Phi-2
8460,2.0,Phi-2
8462,1.0,Phi-2
8476,5.0,Phi-2
8485,2.0,Phi-2
8493,4.0,Phi-2
8499,1.0,Phi-2
8503,3.0,Phi-2
8508,1.0,Phi-2
8523,3.0,Phi-2
8525,3.0,Phi-2
8531,1.0,Phi-2
8538,3.0,Phi-2
8541,1.0,Phi-2
8546,2.0,Phi-2
8552,3.0,Phi-2
8568,2.0,Phi-2
8570,3.0,Phi-2
8576,2.0,Phi-2
8578,2.0,Phi-2
8579,4.0,Phi-2
8598,,Phi-2
8600,2.0,Phi-2
8601,3.0,Phi-2
8611,2.0,Phi-2
8614,2.0,Phi-2
8617,2.0,Phi-2
8620,2.0,Phi-2
8627,2.0,Phi-2
8635,3.0,Phi-2
8636,3.0,Phi-2
8638,2.0,Phi-2
8639,5.0,Phi-2
8641,3.0,Phi-2
8650,2.0,Phi-2
8654,4.0,Phi-2
8655,2.0,Phi-2
8657,3.0,Phi-2
8662,2.0,Phi-2
8663,,Phi-2
8665,4.0,Phi-2
8672,3.0,Phi-2
